report_period_start,report_period_end,interval_start,interval_end,node,namespace,pod,pod_usage_cpu_core_seconds,pod_request_cpu_core_seconds,pod_limit_cpu_core_seconds,pod_usage_memory_byte_seconds,pod_request_memory_byte_seconds,pod_limit_memory_byte_seconds,node_capacity_cpu_cores,node_capacity_cpu_core_seconds,node_capacity_memory_bytes,node_capacity_memory_byte_seconds,resource_id,pod_labels
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,open-cluster-management-agent-addon,klusterlet-addon-policyctrl-config-policy-698bb4b4c5-v4dhv,56.275227,,,218706739200.000000,483183820800.000000,966367641600.000000,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_app:policy-config-policy|label_chart:policy-2.2.0|label_component:governance|label_controller:operator|label_heritage:Helm|label_name:config-policy-ctrl|label_pod_template_hash:698bb4b4c5|label_release:klusterlet-addon-policyctrl
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-dns,dns-default-9xgbf,15.745950,234.000000,,473572392960.000000,494508441600.000000,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_controller_revision_hash:644fd5fcc4|label_dns_operator_openshift_io_daemonset_dns:default|label_pod_template_generation:2
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-monitoring,thanos-querier-69998c5668-274gz,21.759433,32.400000,,937953116160.000000,347288371200.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_app_kubernetes_io_component:query-layer|label_app_kubernetes_io_instance:thanos-querier|label_app_kubernetes_io_name:thanos-query|label_app_kubernetes_io_version:0.12.0|label_pod_template_hash:69998c5668
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-2,openshift-operators,devworkspace-controller-7df954bf49-crmbw,12.329205,,,291903897600.000000,,,32.000000,115200.000000,405709991936.000000,1460555970969600.000000,20350a8d-2ccc-4868-b447-5e2ac1dc2b92,label_app_kubernetes_io_name:devworkspace-controller|label_app_kubernetes_io_part_of:devworkspace-operator|label_pod_template_hash:7df954bf49
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,open-cluster-management-agent,klusterlet-registration-agent-694475bd6-2k2k8,14.897929,360.000000,,167111884800.000000,483183820800.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_app:klusterlet-registration-agent|label_pod_template_hash:694475bd6
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-2,openshift-marketplace,redhat-operators-ht57s,,0.600000,,70287360.000000,3145728000.000000,,32.000000,115200.000000,405709991936.000000,1460555970969600.000000,20350a8d-2ccc-4868-b447-5e2ac1dc2b92,label_catalogsource_operators_coreos_com_update:redhat-operators
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-sdn,ovs-g4cpq,0.049421,54.000000,,17296588800.000000,1509949440000.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_app:ovs|label_component:network|label_controller_revision_hash:5757cd6d9f|label_openshift_io_component:network|label_pod_template_generation:2|label_type:infra
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-cluster-node-tuning-operator,tuned-rbxvb,2.058796,36.000000,,397774356480.000000,188743680000.000000,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_controller_revision_hash:66cfb96794|label_openshift_app:tuned|label_pod_template_generation:2
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-cluster-storage-operator,csi-snapshot-controller-796c8b4d49-g686h,2.720668,36.000000,,195504537600.000000,188743680000.000000,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_app:csi-snapshot-controller|label_pod_template_hash:796c8b4d49
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,open-cluster-management-agent-addon,klusterlet-addon-search-777965bc67-7znw4,83.099881,72.000000,1800.000000,1054162944000.000000,603979776000.000000,2899102924800.000000,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_app:search|label_chart:search-2.2.0|label_component:search|label_controller:operator|label_heritage:Helm|label_pod_template_hash:777965bc67|label_release:klusterlet-addon-search
